"","from","to","weight"
"1","JS_McStravick","_Rebecca_Evans",1
"2","Shimul40764788","_socialcapital_",1
"3","dan_faulhaber","abstractsunday",1
"4","Irritatedllama","AcademyOfRock",1
"5","ACEA_eu","ACEA_eu",1
"6","Hubertelski","ADSgroupUK",1
"7","GringoPeruano","afneil",1
"8","cristhevenot","AFP",1
"9","alainshort","ajmpolite",1
"10","AlfRendo123","ajmpolite",1
"11","AlisonYoga1","ajmpolite",1
"12","asfus61","ajmpolite",1
"13","beech78","ajmpolite",1
"14","bookman429","ajmpolite",1
"15","Bootmaster69","ajmpolite",1
"16","CharlesPolak","ajmpolite",1
"17","ColinMcAlliste3","ajmpolite",1
"18","DikThird","ajmpolite",1
"19","europechris","ajmpolite",1
"20","FirehorseP","ajmpolite",1
"21","Heraldofcreatio","ajmpolite",1
"22","howardjackson09","ajmpolite",1
"23","ians_robots","ajmpolite",1
"24","JohnLalitav","ajmpolite",1
"25","JohnMarcmail","ajmpolite",1
"26","jphcoleman","ajmpolite",1
"27","Karlsmi00479109","ajmpolite",1
"28","Lorraine_lancs","ajmpolite",1
"29","Louiseh76","ajmpolite",1
"30","nickreeves9876","ajmpolite",1
"31","nielsamd","ajmpolite",1
"32","NigelTucker5","ajmpolite",1
"33","NurseMaria46","ajmpolite",1
"34","sharonpentay","ajmpolite",1
"35","Stephen25367746","ajmpolite",1
"36","StephenWheaton6","ajmpolite",1
"37","susanbaker588","ajmpolite",1
"38","TheGreatRejoin","ajmpolite",1
"39","traceymhodgson","ajmpolite",1
"40","AcademyOfRock","AlisonKMurray",1
"41","B_W_Marshall","AllianceBE",1
"42","carter_embrey","AllianceBE",1
"43","fellat_thelast","AllianceBE",1
"44","hughjeffery2","AllianceBE",1
"45","Vadid65","AllianceBE",1
"46","websterssay","AllianceBE",1
"47","Kaboom1776","amlookout",1
"48","DMA_UK","anandMenon1",1
"49","AndrewDuffEU","AndrewDuffEU",1
"50","epc_eu","AndrewDuffEU",1
"51","Carolwa35933143","andybrexiteer",1
