"","from","to","weight"
"1","BrexitBin","1_pye",1
"2","City_Livery_SM","1_pye",1
"3","MrBlueKnew","1994doyler",1
"4","redalphababe","Ablooty",1
"5","MariaMMcGowan","AGrothendick",1
"6","rupaharia","AirlineIndustry",1
"7","ElRaynerista","ajukes69",1
"8","paddydocherty","al_hereford",1
"9","ajmpolite","alainshort",1
"10","LoubinWally","alan_batley",1
"11","ElizabethBangs","AlecHitchman1",1
"12","damian_from","Alexcl1690",1
"13","ajmpolite","AlfRendo123",1
"14","ajmpolite","AlisonYoga1",1
"15","paddydocherty","AlisonYoga1",1
"16","ElRaynerista","allenow83890817",1
"17","trustconf","anastasiabogota",1
"18","derekjames150","andreapluke",1
"19","paddydocherty","Andrew00344210",1
"20","epc_eu","AndrewDuffEU",1
"21","DavidHeadViews","Andy_Hill_",1
"22","ElRaynerista","anneardunes",1
"23","MerseyHack","AnneLitherland1",1
"24","ElRaynerista","AnnieDirlik",1
"25","inselratte","AnnKane26533432",1
"26","Feorlean","Anthea_Dickson",1
"27","derekjames150","antonchanning",1
"28","redalphababe","AporeticD",1
"29","damian_from","arachnochist",1
"30","MariaMMcGowan","arminiusbtfgls",1
"31","pmdfoster","arobertsonphoto",1
"32","Facts4euOrg","artforlifept2",1
"33","ajmpolite","asfus61",1
"34","derekjames150","Athelwulf_wulf",1
"35","AllianceBE","B_W_Marshall",1
"36","NH_India","babun1515",1
"37","paddydocherty","badgerlyminge",1
"38","BarryNL","BarryNL",1
"39","wsrw","BazeidMA",1
"40","ajmpolite","beech78",1
"41","paddydocherty","BiggsDarklight6",1
"42","wsrw","bilaterals_org",1
"43","paddydocherty","BillBolloten",1
"44","nickdearden75","billkruse",1
"45","astro_trader","bishopinstall",1
"46","paddydocherty","blepharon",1
"47","ElRaynerista","Bliadhnaichean",1
"48","ajmpolite","bookman429",1
"49","inselratte","bookman429",1
"50","ajmpolite","Bootmaster69",1
"51","inselratte","Bootmaster69",1
"52","kaleidoscomp","BoVitaNova",1
"53","ElizabethBangs","BreadFox7",1
"54","UKandEU","BremainInSpain",1
"55","petertimmins3","BrexitLalaland",1
"56","MariaMMcGowan","brollejrhoff",1
"57","CrusadeFan","Brown24thomas",1
"58","CrusadeFan","Bulldog665",1
"59","B1EMW","C15MNW",1
"60","WCfPP","cardiffbusiness",1
"61","CrusadeFan","CarnellAnita",1
"62","derekjames150","CarolCu62272565",1
"63","paddydocherty","carolgarvie",1
"64","TheJoyCircuit77","Carolwa35933143",1
"65","LuisCastroTV","CartasMesaTV",1
"66","AllianceBE","carter_embrey",1
"67","ds37alwaysred","cat_leslee",1
"68","CafedeMarEC","catarsimagazin",1
"69","derekjames150","catherinemginn",1
"70","petertimmins3","catherinemginn",1
"71","paddydocherty","CBenians",1
"72","ajmpolite","CharlesPolak",1
"73","nickdearden75","chrisgreybrexit",1
"74","pmdfoster","chrisgreybrexit",1
"75","paddydocherty","cjmUK70",1
"76","barryjflack","cm_charu",1
"77","YellowJimbo","CoastPaul",1
"78","ajmpolite","ColinMcAlliste3",1
"79","zeitonline_pol","CondeJana",1
"80","ElRaynerista","CountrySkills",1
"81","onthewingit","courageousgirl2",1
"82","paddydocherty","cpburrell",1
"83","UxbEconomist07","cuban_manny",1
"84","damian_from","dance_daffodil",1
"85","MikeDLondon","DarrenWilkes",1
"86","paddydocherty","david_colquhoun",1
"87","Feorlean","davidgreenlees",1
"88","derekjames150","DavidWorrall6",1
"89","BrexitBin","davstir",1
"90","pmdfoster","DCHutchings",1
"91","ElRaynerista","democracycheers",1
"92","LoubinWally","devereux_robert",1
"93","ajmpolite","DikThird",1
"94","paddydocherty","Downtwisted",1
"95","paddydocherty","dr_rf",1
"96","pmdfoster","DreamSailor2",1
"97","UniversidadGob","Dret_UB",1
"98","UxbEconomist07","DrMand1",1
"99","bundesbank","DrRueckauf",1
"100","MariaMMcGowan","DuPouvoirDachat",1
"101","ZonefrC","DuPouvoirDachat",1
"102","pmdfoster","eaglu",1
"103","redalphababe","EHijacked",1
"104","B1EMW","eileenvn",1
"105","MAECgob","EmbEspHungria",1
"106","MariaMMcGowan","emtee2355",1
