"","from","to","weight"
"1","nickdearden75","appliedsoft",1
"2","pmdfoster","arobertsonphoto",1
"3","MariaMMcGowan","AustinPoynton",1
"4","pmdfoster","Baznut",1
"5","CrusadeFan","Brown24thomas",1
"6","derekjames150","CarolCu62272565",1
"7","LuisCastroTV","CartasMesaTV",1
"8","irishpoint","charcalum",1
"9","nickdearden75","chrisgreybrexit",1
"10","pmdfoster","chrisgreybrexit",1
"11","paddydocherty","cjmUK70",1
"12","Feorlean","davidgreenlees",1
"13","paddydocherty","Downtwisted",1
"14","MariaMMcGowan","emtee2355",1
"15","LuisCastroTV","EuclidesVargas6",1
"16","eumigrantworker","eumigrantworker",1
"17","ajmpolite","europechris",1
"18","paddydocherty","FrannyHP",1
"19","ajmpolite","Heraldofcreatio",1
"20","pmdfoster","hoppinghaggis",1
"21","ajmpolite","howardjackson09",1
"22","ajmpolite","ians_robots",1
"23","pmdfoster","JohnGPeet",1
"24","NewEuropeans","JohnKLDN",1
"25","pmdfoster","JohnKLDN",1
"26","nickdearden75","JozefR8",1
"27","pmdfoster","JozefR8",1
"28","nickdearden75","Jude_KD",1
"29","ElRaynerista","JulieCuninghame",1
"30","ajmpolite","Karlsmi00479109",1
"31","nickdearden75","KernowQ",1
"32","kamouflages","KriefKriefter",1
"33","Tammyocanada","kskinnervan",1
"34","derekjames150","laxian_key",1
"35","paddydocherty","Leticia17922167",1
"36","petemorristwit","lines_busy",1
"37","ajmpolite","Louiseh76",1
"38","Facts4euOrg","luaptterb",1
"39","LuisCastroTV","LuisCastroTV",1
"40","RegSprecher","MartinMacha24",1
"41","SPDEuropa","MartinMacha24",1
"42","TheProgressives","MartinMacha24",1
"43","B1EMW","me3three",1
"44","ChrisMousse3","me3three",1
"45","redalphababe","me3three",1
"46","pmdfoster","michaeltinmouth",1
"47","hack_theatre","MSewell90",1
"48","jamesbaconx","MylifeUK1",1
"49","pmdfoster","positpolit",1
"50","inselratte","Quintsharktours",1
"51","LoubinWally","RachelG21879460",1
"52","irishpoint","Revolution_IRL",1
"53","petertimmins3","Ric__George",1
"54","pmdfoster","richardjbellamy",1
"55","paddydocherty","righttoleech",1
"56","CrusadeFan","russell11068021",1
"57","nickdearden75","SamJaneMorris",1
"58","LoubinWally","SandraDunn1955",1
"59","_socialcapital_","Shimul40764788",1
"60","Chasmanthium","SpanishDan1",1
"61","ChrisMousse3","SpanishDan1",1
"62","petertimmins3","SpanishDan1",1
"63","EntheosShines","spradlinok",1
"64","paddydocherty","StarterPat",1
"65","paddydocherty","SusieMu45",1
"66","derekjames150","terriesinglet14",1
"67","MadeleinaKay","west10london",1
