"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x3588926603","x1237395780794646528",2020-03-10 15:11:58,"Kate2Spirit","The Tories have been running down and starving our NHS, #Brexit has encouraged many of our nursing staff and Doctors to return to their countries of origin.  This is on them.  #takeitonthechin is no strategy for survival. https://t.co/jgZQ9eVQ5l","Twitter Web App",221,,,,TRUE,FALSE,0,0,,,"Brexit takeitonthechin",,"twitter.com/DancingTheMind…","https://t.co/jgZQ9eVQ5l","https://twitter.com/DancingTheMind/status/1237360907795091456",,,,,,,,,,,"en","x1237360907795091456","“We have half as many intensive care beds per capita as Italy does” - Dr Ron Daniels NHS ICU Consultant. 

Sadly now the stark realities of a grossly under-resourced NHS may become even clearer.

#COVID2019uk 
https://t.co/IzKjxxAE8f",2020-03-10 12:53:24,"Twitter for iPhone",369,336,"x101542844","DancingTheMind","Dr Lauren Gavaghan",62786,3722,40184,"🌏","Nomadic doctor...dancing & diving through 2020. To be found mostly at ~20m below the surface of an ocean somewhere. 🌏🐠🐋🦈",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Kate2Spirit/status/1237395780794646528","Katherine Young ⛥⚝","SW London, England","Pagan, RP nerd, enjoyer of food, therapeutic counsellor and Critter.",,FALSE,3185,3210,23,16766,9103,2015-09-08 15:31:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/3588926603/1441818733","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/641274465666625537/8YQLkRUF_normal.png"
"x1217487751","x1237395761790431232",2020-03-10 15:11:53,"kskinnervan","The Government of Saudi Arabia is led by the Monarch. No political Parties or National elections are permitted.
Nor is the Rule Of Law or succession apparently! 
It's the dream of every far right fascist! 
dnpoli #Brexit #auspol #Trumpdemic 
https://t.co/DXZDkZIDWZ","Twitter Web App",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x754108043974107137","Tammyocanada","en",,,,,,,,,,,,,,,,"x1237395618294874112","The Government of Saudi Arabia is led by the Monarch. No political Parties or National elections are permitted.
Nor is the Rule Of Law or succession apparently! 
It's the dream of every far right fascist! 
dnpoli #Brexit #auspol #Trumpdemic 
https://t.co/DXZDkZIDWZ",2020-03-10 15:11:19,"Twitter Web App",2,1,"x754108043974107137","Tammyocanada","Tammy 💪🍁💪",1212,900,72603,"","Country before Party every time! 🍁✌🍁",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kskinnervan/status/1237395761790431232","Hey Kelly","Vancouver, British Columbia","🇨🇦 🗝 ""Who could hang a name on you?"" 🎼💖",,FALSE,1355,965,13,192951,163014,2013-02-25 06:34:55,FALSE,,,,"https://pbs.twimg.com/profile_banners/1217487751/1583780319","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1236727643539566592/IfSZm9du_normal.jpg"
"x2791514836","x1237395685009272833",2020-03-10 15:11:35,"MylifeUK1","Oven ready?! They don’t even have the ingredients! #Brexit https://t.co/m0h8bu6Z6G","Twitter for Android",99,,,,FALSE,TRUE,0,1,,,"Brexit",,"huffingtonpost.co.uk/entry/uk-scram…","https://t.co/m0h8bu6Z6G","https://www.huffingtonpost.co.uk/entry/uk-scrambling-to-hire-trade-experts-as-talks-open-with-us-and-eu_uk_5e663bfdc5b6055728085279",,,,,,,,,"x26039666","jamesbaconx","en",,,,,,,,,,,,,,,,"x1237385056647168000","Oven ready?! They don’t even have the ingredients! #Brexit https://t.co/m0h8bu6Z6G",2020-03-10 14:29:21,"Twitter for iPhone",1,1,"x26039666","jamesbaconx","James B",1704,1057,10606,"London","Jack of all trades, master of some - Marketing Consultant, Musician, Ex-Google.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MylifeUK1/status/1237395685009272833","Philip Brown","Kriopigi, Kassandra, Greece","Just saying it the way I see it, retweet what interests me, following those who I feel some affinity with. Follow back as a matter of courtesy.",,FALSE,338,370,2,8437,11436,2014-09-29 12:23:15,FALSE,,,,"https://pbs.twimg.com/profile_banners/2791514836/1412492156","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/518655448954580992/0Jr-DRl5_normal.jpeg"
"x1237068306198257664","x1237395682237001728",2020-03-10 15:11:35,"lines_busy","@WSL1w1 My God, they see opportunity in pretty much everything where they think there might be a glimmer of hope of delaying or stopping #Brexit . It's really, really pathetic.","Twitter for Android",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x21479903 x3131529893","petemorristwit WSL1w1","en",,,,,,,,,,,,,,,,"x1237389879744450560","@WSL1w1 My God, they see opportunity in pretty much everything where they think there might be a glimmer of hope of delaying or stopping #Brexit . It's really, really pathetic.",2020-03-10 14:48:31,"Twitter Web App",4,2,"x21479903","petemorristwit","Sir Peter Morris ""Thank God we're out""",5341,5159,48333,"Barnsley, England","Quality Manager in Engineering: Dangerously Grumpy: Pro-Brexit Not a Conservative: Anyone pestering with a Hashtag FBPE will be blocked.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lines_busy/status/1237395682237001728","AllLinesAreBusy","","@EdwinObrian suspended! 😡😡Appeal under review! Watch this space! In the meantime, please follow this one...thank you..👍👍",,FALSE,79,284,0,283,249,2020-03-09 17:30:55,FALSE,,,,"https://pbs.twimg.com/profile_banners/1237068306198257664/1583832988",,"http://pbs.twimg.com/profile_images/1237310963000446978/BTXz0owP_normal.jpg"
"x4469878469","x1237395633876512768",2020-03-10 15:11:23,"eumigrantworker","Q: Have your experiences of being an EU national (non UK) working in the UK changed in anyway over the last 2 years (since the Referendum)?
If you are an EU national living &amp;/or working in the UK we want to hear from you: https://t.co/dXnL8ANFOn 
Pls RT and share. #Brexit #EUSS https://t.co/kfVQSThjav","Twitter for Android",140,,,,FALSE,TRUE,0,24,,,,,,,,,,,,,,,,"x4469878469","eumigrantworker","en",,,,,,,,,,,,,,,,"x1204356743763054593","Q: Have your experiences of being an EU national (non UK) working in the UK changed in anyway over the last 2 years (since the Referendum)?
If you are an EU national living &amp;/or working in the UK we want to hear from you: https://t.co/dXnL8ANFOn 
Pls RT and share. #Brexit #EUSS https://t.co/kfVQSThjav",2019-12-10 11:06:38,"Twitter Web App",12,24,"x4469878469","eumigrantworker","EU Migrant Worker",547,258,1472,"Cambridge, England","Catherine Barnard , Fiona Costello and Sarah Fraser Butlin are looking at the experiences of EU migrant workers in the UK. Funded by ESRC/UKCE",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/eumigrantworker/status/1237395633876512768","EU Migrant Worker","Cambridge, England","Catherine Barnard , Fiona Costello and Sarah Fraser Butlin are looking at the experiences of EU migrant workers in the UK. Funded by ESRC/UKCE","https://t.co/8CfygmUHcR",FALSE,547,258,25,1472,172,2015-12-13 11:52:10,FALSE,"https://t.co/8CfygmUHcR","https://www.eumigrantworker.law.cam.ac.uk/",,"https://pbs.twimg.com/profile_banners/4469878469/1450043246","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1228008992456265728/V8G3xq8t_normal.jpg"
"x754108043974107137","x1237395618294874112",2020-03-10 15:11:19,"Tammyocanada","The Government of Saudi Arabia is led by the Monarch. No political Parties or National elections are permitted.
Nor is the Rule Of Law or succession apparently! 
It's the dream of every far right fascist! 
dnpoli #Brexit #auspol #Trumpdemic 
https://t.co/DXZDkZIDWZ","Twitter Web App",265,,,,FALSE,FALSE,2,1,,,"Brexit auspol Trumpdemic",,"msn.com/en-ca/news/wor…","https://t.co/DXZDkZIDWZ","https://www.msn.com/en-ca/news/world/saudi-princes-detentions-sent-a-message-dont-block-my-path-to-the-throne/ar-BB10V5HN",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Tammyocanada/status/1237395618294874112","Tammy 💪🍁💪","","Country before Party every time! 🍁✌🍁",,FALSE,1212,900,3,72603,90057,2016-07-16 00:19:03,FALSE,,,,"https://pbs.twimg.com/profile_banners/754108043974107137/1543105701",,"http://pbs.twimg.com/profile_images/1221254816560750592/9QUl_WC6_normal.jpg"
"x32389281","x1237395561944436736",2020-03-10 15:11:06,"Baznut","🚨✈️✈️✈️💥💥💥🚨
EXCORIATING OpEd from ⁦@PauleverittADS⁩ on ⁦⁦@grantshapps⁩ decision not to seek assoc membership of EU air safety body EASA after #brexit - says govt is ideological and not listening. 🔥🔥🔥1/thread 

 https://t.co/S1Z8Ui5ar7","Twitter for Android",140,,,,FALSE,TRUE,0,212,,,,,,,,,,,,,,,,"x23563830 x1092005779 x14104027","pmdfoster PauleverittADS grantshapps","en",,,,,,,,,,,,,,,,"x1237329313244098560","🚨✈️✈️✈️💥💥💥🚨
EXCORIATING OpEd from ⁦@PauleverittADS⁩ on ⁦⁦@grantshapps⁩ decision not to seek assoc membership of EU air safety body EASA after #brexit - says govt is ideological and not listening. 🔥🔥🔥1/thread 

 https://t.co/S1Z8Ui5ar7",2020-03-10 10:47:51,"Twitter for iPhone",321,212,"x23563830","pmdfoster","Peter Foster",61824,3345,27866,"London, England","Europe Editor of the Daily Telegraph. Soon to join Financial Times. Formerly Washington DC, Beijing and New Delhi. Opinions my own.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Baznut/status/1237395561944436736","❄️Spaceman Spiff ❄️ 🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧","Ealing, London","Stephen Fry doesn't swear on his tweets but I do. So f**k him and f**k you too.",,FALSE,1178,1033,37,100308,134351,2009-04-17 12:44:37,FALSE,,,,"https://pbs.twimg.com/profile_banners/32389281/1483093218","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1144612433295581184/BnGUYWg5_normal.png"
"x884740545695952896","x1237395536346480641",2020-03-10 15:11:00,"BWCsouthwest","One month into transition: where do we stand? via @thegrowthhubbiz

https://t.co/TCEF2pyX6G

#SmallBiz #Brexit https://t.co/eKArIgUei0","TweetDeck",110,,,,FALSE,FALSE,0,0,,,"SmallBiz Brexit",,"thegrowthhub.biz/the-buzz/news/…","https://t.co/TCEF2pyX6G","https://www.thegrowthhub.biz/the-buzz/news/one-month-transition-where-do-we-stand","http://pbs.twimg.com/media/ESvu-XXX0AACINP.jpg","https://t.co/eKArIgUei0","https://twitter.com/BWCsouthwest/status/1237395536346480641/photo/1","photo","http://pbs.twimg.com/media/ESvu-XXX0AACINP.jpg","https://t.co/eKArIgUei0","https://twitter.com/BWCsouthwest/status/1237395536346480641/photo/1",,"x2460161277","thegrowthhubbiz","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BWCsouthwest/status/1237395536346480641","BWC South West","South West, England","Buy With Confidence is the UK's largest Trading Standards approval scheme. BWC South West is a local account that includes LAs from Gloucestershire to Cornwall.","https://t.co/Y5FmvmtZpb",FALSE,890,1014,11,8446,5483,2017-07-11 11:45:58,FALSE,"https://t.co/Y5FmvmtZpb","http://www.buywithconfidence.gov.uk",,"https://pbs.twimg.com/profile_banners/884740545695952896/1499780173","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/884768066344804352/QEpPXmzJ_normal.jpg"
"x952885954657816576","x1237395521896976391",2020-03-10 15:10:56,"SpanishDan1","Can't help thinking that the UK govt stressing that each person that has died from #Coronavirus had underlying health problems is, either an attempt to stop people worrying, or they don't want people to start taking precautions because #Coronavirus is the perfect #brexit dead cat","Twitter for iPhone",140,,,,FALSE,TRUE,0,7,,,"Coronavirus",,,,,,,,,,,,,"x789931818644561921","petertimmins3","en",,,,,,,,,,,,,,,,"x1237387736530554881","Can't help thinking that the UK govt stressing that each person that has died from #Coronavirus had underlying health problems is, either an attempt to stop people worrying, or they don't want people to start taking precautions because #Coronavirus is the perfect #brexit dead cat",2020-03-10 14:40:00,"Twitter Web App",8,7,"x789931818644561921","petertimmins3","Pete Timmins 🇬🇧 🇫🇷 🇪🇺",13436,4544,28060,"Pardaillan, France","Dad and Grandad, blissfully retired, European, living in a rural French hamlet, surrounded by nature's beauty.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SpanishDan1/status/1237395521896976391","SpanishDan #FBPE","Tarragona.","Brexit is just wrong-Labour leadership are wrong, Tories are mendacious opportunists.Searching for social democrats-tweet me if you see any..",,FALSE,9200,5118,17,326098,262232,2018-01-15 12:51:30,FALSE,,,,"https://pbs.twimg.com/profile_banners/952885954657816576/1516021351",,"http://pbs.twimg.com/profile_images/1175044385215582208/dbNJWnAP_normal.jpg"
"x952885954657816576","x1237395018651852801",2020-03-10 15:08:56,"SpanishDan1","This is a blistering thread. 'Governed by 6th formers'...'back of a fag packet ideas'.....just sums up the complete *horlicks* the @Conservatives are making of #Brexit. https://t.co/F9pQEtWlvf","Twitter for iPhone",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x918872083706384387","Chasmanthium","en",,,,,,,,,,,,,,,,"x1237383414623297536","This is a blistering thread. 'Governed by 6th formers'...'back of a fag packet ideas'.....just sums up the complete *horlicks* the @Conservatives are making of #Brexit. https://t.co/F9pQEtWlvf",2020-03-10 14:22:50,"Twitter for Android",1,2,"x918872083706384387","Chasmanthium","Chas Manthium ⭐🇪🇺🎥",3457,123,10882,"Near everywhere","'The world is full o' complainers. An' the fact is, nothin' comes with a guarantee'",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SpanishDan1/status/1237395018651852801","SpanishDan #FBPE","Tarragona.","Brexit is just wrong-Labour leadership are wrong, Tories are mendacious opportunists.Searching for social democrats-tweet me if you see any..",,FALSE,9200,5118,17,326098,262232,2018-01-15 12:51:30,FALSE,,,,"https://pbs.twimg.com/profile_banners/952885954657816576/1516021351",,"http://pbs.twimg.com/profile_images/1175044385215582208/dbNJWnAP_normal.jpg"
